N,alpha,M,conc_succ_prob,kappa_med,sigma_rel_med,sigma_abs_med,max_w_95per,pos_prob,nan_prob
20,9.25,555,0.916,0.7618381089666456,115386.19294544788,0.7937619863048637,4.371786760240314,0.0,0.0
20,9.625,577,0.919,0.7618475444923585,111794.4946556736,0.8100213538443948,4.331361804442646,0.0,0.0
20,10.0,600,0.941,0.7618521096839308,113918.16145058731,0.7711101746027471,4.267153880686379,0.0,0.0
22,1.0,69,0.0,0.7770182430978358,517285.64255016146,3.7234720603835054,15.371834735257568,0.0,0.0
22,1.375,94,0.0,0.7661915016645282,531844.5533632934,2.940784478714651,11.357016452810033,0.0,0.0
22,1.75,120,0.002,0.7643396836970744,522580.7881714187,2.317224318012554,9.670789297144626,0.0,0.0
22,2.125,145,0.006,0.7631206864360902,538910.5153409009,2.074836380812406,8.277673197707552,0.0,0.0
22,2.5,171,0.015,0.762907207901877,552463.006180356,1.9275460841935648,7.448817571396798,0.0,0.0
22,2.875,196,0.042,0.7625077821355208,583761.2818838356,1.68961584120037,6.799514096336218,0.0,0.0
22,3.25,222,0.075,0.7623072105136062,585214.0411878554,1.572957947932522,6.645780931363996,0.0,0.0
22,3.625,247,0.132,0.7622209213615778,571966.6582358012,1.443284560501763,6.202041077828204,0.0,0.0
22,4.0,273,0.223,0.7622229309404739,634397.9011770585,1.3530925440830242,6.0325306639956295,0.0,0.0
22,4.375,298,0.268,0.7620539731469846,629912.0020776707,1.3080777344848986,5.749405963322325,0.0,0.0
22,4.75,324,0.372,0.7620750648979361,652568.2544692294,1.2382930278130737,5.675329552100325,0.0,0.0
22,5.125,349,0.446,0.7619856596643988,681305.5556635035,1.2195321836651365,5.441184678703628,0.0,0.0
22,5.5,375,0.534,0.7619254553199717,666646.8274483546,1.140346672495981,5.41608964883535,0.0,0.0
22,5.875,400,0.6,0.7619281358254786,638892.8598883137,1.074575686258755,5.063476279901975,0.0,0.0
22,6.25,426,0.66,0.7619619516251107,704395.5331536084,1.06860039150929,5.1434836560526636,0.0,0.0
22,6.625,451,0.716,0.7618908231551175,744902.5386439438,1.0314034911354215,5.06904585098062,0.0,0.0
22,7.0,477,0.748,0.7618953254094621,714640.0312285832,0.9706210361681189,4.841504292978722,0.0,0.0
22,7.375,502,0.814,0.7618890605994693,709880.4224053766,0.9665419562641611,4.910753040771569,0.0,0.0
22,7.75,528,0.825,0.7619211392775822,690082.2234738247,0.9411593477858051,4.852351205225255,0.0,0.0
22,8.125,553,0.873,0.7618757581519862,724701.8754001397,0.9087424415707945,4.734994653660647,0.0,0.0
22,8.5,579,0.883,0.7618590970599157,738098.714308481,0.8779518240012998,4.728538430538334,0.0,0.0
22,8.875,604,0.896,0.7618722908213127,768082.2129384014,0.8611818390083275,4.648265971175275,0.0,0.0
